# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
ri guo 	日過	c=1 d=1 t=6311
ri ji 	日記	c=0 d=0.1 t=7966
ri ji en 	日記恩	c=1 d=1 t=7967
ri le 	日了	c=1 d=1 t=10658
ri li 	日曆	c=1 d=1.09005 t=14419
ri qi 	日期	c=4 d=2.00117 t=13721
ri zhi 	日誌	c=11 d=0.1 t=12914
ri zhi deng ji 	日誌等級	c=1 d=1 t=7220
ri zhi mo kuai 	日誌模塊	c=1 d=1 t=12915
rong 	熔	c=3 d=2.74763 t=2841
rong 	融	c=1 d=1 t=2794
rong yi 	容易	c=1 d=1 t=261
rong yu 	冗餘	c=1 d=1 t=14104
rou 	肉	c=5 d=4.95037 t=11149
ru 	乳	c=1 d=1 t=11442
ru 	入	c=2 d=1.92774 t=10151
ru ci 	如此	c=0 d=0.1 t=1534
ru ci wang fu 	如此王府	c=1 d=1 t=1535
ru eh 	如誒	c=1 d=1 t=4754
ru guo 	如果	c=13 d=1 t=13798
ru guo you 	如果有	c=1 d=1 t=6313
ru he 	如何	c=98 d=3.6566 t=14469
ru he chu li 	如何處理	c=1 d=1 t=14161
ru keng 	入坑	c=1 d=1 t=10452
ru lai 	如來	c=0 d=0.1 t=7659
ru lai fo zu 	如來佛祖	c=1 d=1 t=7660
ru lei guan er 	如雷貫耳	c=1 d=1 t=11406
ru men 	入門	c=1 d=1 t=7870
ru tuan 	入團	c=1 d=1.08511 t=10829
ru tuan shi jian 	入團時間	c=1 d=1 t=10830
ru xue 	入學	c=0 d=0.1 t=13715
ru xue de 	入學的	c=1 d=1 t=13716
ru zhi 	入職	c=11 d=0.1682 t=14473
ru zhi liu cheng 	入職流程	c=1 d=1 t=14474
ru zhu 	入住	c=2 d=1 t=13432
ruan hua 	軟化	c=3 d=2.55172 t=4071
ruan jian 	軟件	c=20 d=1.00049 t=14484
ruan jian kai fa 	軟件開發	c=4 d=1 t=11281
ruan jian xi tong she ji 	軟件系統設計	c=1 d=1 t=7115
rui 	銳	c=3 d=2.93143 t=4874
ruo 	弱	c=2 d=1 t=7876
sa 	撒	c=1 d=1.30129 t=24
sa da shi dai li kai jia 	撒大時代離開家	c=1 d=1 t=17
sa da shou da jiao ai si ku duo jiu ha shi 	撒大手大腳埃斯庫多就哈市	c=1 d=1 t=10
sa dan 	撒旦	c=3 d=3.0402 t=29
sa dan lu ka si jue de lu ka si jue de 	撒旦盧卡斯覺得盧卡斯覺得	c=1 d=1 t=13
sa mo 	薩摩	c=1 d=1 t=5847
sai che 	賽車	c=3 d=1.28148 t=4724
sai er 	塞爾	c=0 d=0.1 t=4032
sai er da 	塞爾打	c=1 d=1 t=4033
san 	三	c=4 d=1.77106 t=12142
san bing 	傘兵	c=1 d=1 t=3899
san cheng 	三成	c=1 d=1 t=10106
san ci 	三次	c=1 d=1 t=4070
san da 	三大	c=0 d=0.197531 t=19
san da sa dan 	三大撒旦	c=1 d=0.1 t=5519
san dan 	散彈	c=2 d=1.94649 t=3976
san dao 	三刀	c=2 d=1.99501 t=11360
san fang 	三方	c=4 d=2.28664 t=14192
san fang xie yi 	三方協議	c=1 d=1 t=14195
san fen zhong 	三分鐘	c=1 d=1 t=6712
san ge 	三個	c=1 d=1 t=11925
san guo 	三國	c=3 d=1.0539 t=13268
san lian 	三聯	c=1 d=1 t=9731
san re 	散熱	c=1 d=1 t=5223
sao hua 	騷話	c=1 d=1 t=11064
sao huo 	騷貨	c=1 d=1 t=4295
sao miao 	掃描	c=1 d=1.099 t=1567
sao miao yi bian shu zu 	掃描一邊數組	c=1 d=1 t=1566
se 	色	c=2 d=1.00008 t=5025
sen 	森	c=1 d=1 t=4150
sen lin 	森林	c=2 d=1.84789 t=4618
sha 	傻	c=1 d=1 t=2086
sha 	啥	c=7 d=1 t=14602
sha bi 	傻逼	c=5 d=1.05756 t=11007
sha diao 	傻屌	c=1 d=1 t=1955
sha diao 	沙雕	c=1 d=1 t=6801
sha le 	殺了	c=1 d=1 t=12291
sha ren 	殺人	c=1 d=0.1 t=8507
sha shi hou 	啥時候	c=3 d=1.35345 t=11956
shan 	山	c=5 d=1 t=9932
shan chu 	刪除	c=5 d=1.00109 t=14222
shan chu ma 	山出馬	c=1 d=1 t=4175
shan diao 	刪掉	c=3 d=1.21871 t=12940
shan e 	善惡	c=0 d=0.1 t=14600
shan hu 	珊瑚	c=1 d=0.104796 t=3855
shan le 	刪了	c=4 d=1 t=7811
shan lin 	山林	c=1 d=1 t=4391
shan mu 	杉木	c=1 d=1 t=3663
shan song 	閃送	c=2 d=1.81873 t=13867
shan tui 	閃退	c=1 d=1 t=5567
shan zhuang 	山莊	c=0 d=0.1 t=5705
shang 	上	c=37 d=0.102235 t=14586
shang an 	上岸	c=3 d=1.6157 t=9847
shang chuan 	上傳	c=6 d=1 t=12574
shang chuan dao 	上傳到	c=1 d=1 t=9045
shang chuan dao fu wu qi 	上傳到服務器	c=1 d=1 t=242
shang chuan fu jian 	上傳附件	c=2 d=1.00048 t=1716
shang chuan le 	上傳了	c=1 d=1 t=8688
shang de 	上的	c=1 d=1 t=2900
shang dian 	商店	c=2 d=1 t=10519
shang ge 	上個	c=1 d=1 t=7105
shang hai 	上海	c=1 d=1 t=4825
shang hai 	傷害	c=1 d=1 t=4826
shang kan 	上看	c=0 d=0.1 t=5874
shang kan dao le 	上看到了	c=1 d=1 t=5875
shang lai 	上來	c=1 d=1 t=3394
shang le 	上了	c=1 d=1 t=5229
shang mian 	上面	c=2 d=1 t=7471
shang mian de 	上面的	c=1 d=1 t=789
shang na 	上哪	c=2 d=1 t=14365
shang ping 	上屏	c=1 d=1 t=43
shang qu 	上去	c=1 d=1 t=7646
shang wang 	上網	c=1 d=1 t=752
shang wei 	上位	c=2 d=1.42741 t=4942
shang wu 	上午	c=2 d=1 t=8723
shang xia 	上下	c=2 d=1 t=12640
shang xia ji 	上下級	c=1 d=1 t=6148
shao le 	少了	c=1 d=1 t=2497
shao nian 	少年	c=1 d=1.09005 t=1629
shao nian xiao zhao 	少年校招	c=1 d=1 t=1630
shao shu pai 	少數派	c=4 d=1.95621 t=11300
shao wei 	稍微	c=1 d=1 t=13034
she 	設	c=0 d=0.1 t=2212
she bei 	設備	c=3 d=1.98022 t=5573
she ding 	設定	c=2 d=1.10861 t=1676
she ji 	射擊	c=1 d=1 t=4198
she ji 	設計	c=34 d=3.33811 t=13167
she ji le 	設計了	c=1 d=1 t=9058
she ji yu shi xian 	設基於實現	c=1 d=1 t=2213
she me 	什麼	c=2 d=1 t=8501
she tou 	舌頭	c=1 d=1 t=4729
she zhao 	社招	c=1 d=1 t=9433
she zhi 	設置	c=23 d=1.01802 t=14020
she zhi wei 	設置爲	c=1 d=1 t=785
shei 	誰	c=4 d=1.00001 t=13989
shei dou 	誰都	c=1 d=1 t=5293
shen 	審	c=1 d=1 t=13333
shen 	神	c=2 d=1 t=13291
shen fen 	身份	c=1 d=1 t=1705
shen fen zheng 	身份證	c=3 d=1.77105 t=13490
shen fen zheng hao 	身份證號	c=1 d=1 t=13993
shen he 	審覈	c=1 d=1 t=8717
shen hua 	神話	c=1 d=1 t=5546
shen me 	什麼	c=77 d=2.69542 t=14461
shen me de 	什麼的	c=4 d=1 t=9939
shen me le 	什麼了	c=1 d=1 t=2854
shen me lei xing 	什麼類型	c=1 d=1 t=6918
shen me ma 	什麼嗎	c=1 d=1.09418 t=635
shen me qing kuang 	什麼情況	c=2 d=1 t=10685
shen me shen me 	什麼什麼	c=1 d=1 t=14102
shen me shen me de 	什麼什麼的	c=1 d=1 t=2214
shen me shen me ma 	什麼什麼嗎	c=1 d=1 t=624
shen me shi 	什麼是	c=2 d=1 t=14444
shen me shi hou 	什麼時候	c=1 d=1 t=10025
shen me shi hou chu 	什麼時候出	c=1 d=1 t=2095
shen me ya 	什麼呀	c=1 d=1 t=7791
shen me yi si 	什麼意思	c=1 d=1 t=5710
shen pi 	審批	c=4 d=1.02226 t=13331
shen qi 	神器	c=1 d=1 t=4698
shen qing 	申請	c=7 d=4.3263 t=14635
shen ru 	深入	c=1 d=1 t=8232
shen ru qian chu 	深入淺出	c=1 d=1 t=2989
shen shang 	身上	c=1 d=1 t=3649
sheng 	昇	c=2 d=1 t=13401
sheng 	生	c=3 d=1 t=13920
sheng 	省	c=1 d=1 t=10351
sheng 	聖	c=1 d=1 t=11443
sheng chen 	生辰	c=1 d=1 t=206
sheng cheng 	生成	c=2 d=0.1 t=12928
sheng dan jie 	聖誕節	c=0 d=0.1 t=13
sheng hua wei ji 	生化危機	c=1 d=1 t=4107
sheng huan zhe 	生還者	c=1 d=1 t=13288
sheng huo zhao 	生活照	c=4 d=1.96652 t=13629
sheng ji 	升級	c=4 d=1 t=8065
sheng me 	聖麼	c=1 d=1 t=12443
sheng xia 	剩下	c=1 d=1 t=1523
sheng xia de 	剩下的	c=1 d=1 t=9835
sheng xiao 	生效	c=1 d=0.1 t=11262
sheng yin 	聲音	c=3 d=1.01838 t=5224
sheng yu 	剩餘	c=4 d=1 t=7232
sheng zhi 	聖旨	c=1 d=1 t=12202
shi 	事	c=2 d=1 t=12263
shi 	使	c=10 d=1 t=9174
shi 	失	c=1 d=1 t=5544
shi 	市	c=1 d=1 t=13317
shi 	師	c=2 d=1.80252 t=11933
shi 	是	c=169 d=2.14607 t=14597
shi 	時	c=15 d=1.00249 t=12447
shi 	氏	c=1 d=1 t=12315
shi 	試	c=-5 d=2.08066 t=757
shi a 	是啊	c=1 d=1 t=9777
shi ba 	是吧	c=2 d=1.00024 t=10611
shi bai 	失敗	c=1 d=0.1 t=9396
shi bei 	十倍	c=1 d=1 t=5334
shi bie 	識別	c=6 d=1 t=12655
shi bu ke neng 	是不可能	c=0 d=0.1 t=14338
shi bu ke neng de 	是不可能的	c=1 d=1 t=14339
shi bu shi 	是不是	c=11 d=1.00052 t=14097
shi cuo 	試錯	c=1 d=1 t=7433
shi da fu 	士大夫	c=1 d=1 t=2164
shi de 	使得	c=1 d=1 t=6624
shi de 	是的	c=5 d=1.00147 t=14313
shi dong tai 	是動態	c=1 d=1 t=4948
shi duo shao 	是多少	c=1 d=1 t=4011
shi er 	十二	c=1 d=1 t=11631
shi fang wen 	是訪問	c=1 d=1 t=4912
shi fen 	十分	c=0 d=0.1 t=6368
shi fen gan xie 	十分感謝	c=1 d=1 t=6369
shi fou 	是否	c=7 d=2.94092 t=8207
shi fou sa da shi dai 	是否撒大時代	c=1 d=1 t=25
shi fou wei 	是否爲	c=1 d=1 t=2143
shi ge 	是個	c=4 d=1.02187 t=11441
shi ge fei wu 	是個廢物	c=1 d=1 t=6775
shi hou 	時候	c=16 d=1.00009 t=14059
shi hua 	實話	c=1 d=1 t=11371
shi ji 	實際	c=2 d=1 t=12229
shi jia zhuang 	石家莊	c=2 d=1.99005 t=6866
shi jian 	事件	c=2 d=1 t=7922
shi jian 	時間	c=14 d=1.00549 t=13938
shi jian chuo 	時間戳	c=1 d=1 t=3954
shi jian ge shi 	時間格式	c=1 d=1 t=3956
shi jian huo dong 	實踐活動	c=0 d=0.1 t=5553
shi jian huo dong ai 	實踐活動愛	c=1 d=1 t=5554
shi jian xian zhi 	時間限制	c=1 d=1 t=7381
shi jie 	世界	c=20 d=2.58488 t=9595
shi jie da zhan 	世界大戰	c=1 d=1 t=3525
shi jin tian 	是今天	c=1 d=1 t=12567
shi jing ming mei 	石井明美	c=2 d=1.98511 t=2074
shi ju 	市局	c=1 d=1 t=5391
shi ke 	時刻	c=1 d=1 t=2613
shi li 	示例	c=2 d=1 t=14317
shi ma 	是嗎	c=1 d=1 t=13723
shi pin 	視頻	c=1 d=1 t=5189
shi qu 	失去	c=1 d=1 t=3878
shi shei 	是誰	c=1 d=1 t=12014
shi shen me 	是什麼	c=33 d=1.65976 t=14468
shi shen me yang de 	是什麼養的	c=1 d=1 t=11058
shi shen me yi si 	是什麼意思	c=2 d=1 t=5996
shi shi 	試試	c=6 d=1.00002 t=10079
shi tai long 	史泰龍	c=1 d=1 t=11432
shi ti 	實體	c=3 d=1.00032 t=7877
shi ti 	屍體	c=1 d=1 t=4161
shi ti dian 	實體店	c=1 d=1 t=2311
shi ti shu xing 	實體屬性	c=1 d=1 t=6118
shi tong 	視同	c=0 d=0.1 t=14630
shi tou 	石頭	c=3 d=1.99005 t=11541
shi tu 	試圖	c=1 d=1 t=7714
shi wan 	十萬	c=0 d=0.1 t=12804
shi wan da jun 	十萬大軍	c=1 d=1 t=12805
shi wo 	是我	c=4 d=1.0064 t=7351
shi wo de 	是我的	c=1 d=0.11139 t=7295
shi wo de wo 	是我的我	c=1 d=1 t=7296
shi wu 	事務	c=2 d=1.96561 t=8291
shi xi 	實習	c=18 d=1.00001 t=13435
shi xi bao gao 	實習報告	c=10 d=4.06542 t=10489
shi xi sheng 	實習生	c=8 d=1.00145 t=7569
shi xi xiang mu 	實習項目	c=1 d=1 t=5743
shi xian 	實現	c=35 d=2.07221 t=13097
shi xian yi ge 	實現一個	c=1 d=1 t=526
shi xiao 	失效	c=1 d=1 t=4324
shi ye 	事業	c=1 d=1 t=9463
shi ying 	適應	c=1 d=1 t=14381
shi yo 	是喲	c=0 d=0.1 t=11193
shi yo gai 	是喲改	c=1 d=1 t=11194
shi yong 	使用	c=78 d=4.26472 t=14632
shi you 	石油	c=1 d=1 t=2075
shi zai 	實在	c=1 d=1 t=7636
shi zhi qian 	是之前	c=1 d=1 t=9733
shi zi 	獅子	c=2 d=0.466292 t=3960
shou 	受	c=1 d=1 t=12795
shou 	守	c=1 d=1 t=13281
shou 	手	c=6 d=2.02376 t=5254
shou 	收	c=5 d=1 t=10499
shou 	獸	c=1 d=1 t=3737
shou 	首	c=1 d=1 t=3660
shou biao 	手錶	c=1 d=1 t=4124
shou bu 	收不	c=1 d=1 t=10498
shou dao 	收到	c=5 d=1.06276 t=14533
shou dao le 	收到了	c=3 d=1.28118 t=14415
shou dong 	手動	c=4 d=2.21542 t=8910
shou fei 	收費	c=1 d=1 t=8877
shou gong 	手工	c=1 d=1 t=8181
shou huo 	收穫	c=1 d=1 t=7656
shou ji 	手機	c=9 d=1 t=9368
shou jiang dian li 	授獎典禮	c=0 d=0.1 t=13
shou li 	手裏	c=3 d=2.85017 t=14172
shou ru 	收入	c=0 d=0.1 t=651
shou shi 	手勢	c=2 d=1.98511 t=5584
shou shi 	收拾	c=1 d=1 t=13954
shou wan 	收完	c=1 d=1 t=10432
shou xi 	首席	c=1 d=1 t=1495
shou xian 	首先	c=1 d=1 t=1496
shou xie 	手寫	c=1 d=1 t=9683
shu 	數	c=3 d=0.10059 t=8526
shu 	書	c=3 d=1.01046 t=6440
shu 	樹	c=1 d=1 t=6578
shu 	熟	c=1 d=1 t=10107
shu 	術	c=2 d=1.56553 t=12214
shu bao 	書包	c=1 d=1 t=10425
shu biao 	鼠標	c=2 d=1.16365 t=5646
shu chu 	輸出	c=2 d=1.00061 t=5406
shu chu dao 	輸出到	c=1 d=1 t=5401
shu fu 	舒服	c=1 d=1 t=11486
shu fu le 	舒服了	c=1 d=1 t=9295
shu jia 	暑假	c=1 d=1 t=10577
shu ju 	數據	c=21 d=1 t=14523
shu ju ji 	數據集	c=1 d=1 t=8318
shu ju jie gou 	數據結構	c=3 d=1 t=9861
shu ju ku 	數據庫	c=21 d=1.14173 t=14445
shu lian 	熟練	c=5 d=2.98017 t=1840
shu liang 	數量	c=5 d=1.99501 t=8325
shu mei 	樹莓	c=2 d=1.98511 t=8531
shu mei pai 	數每排	c=2 d=1.98511 t=8530
shu ru 	輸入	c=7 d=2.23976 t=10058
shu ru fa 	輸入法	c=7 d=0.635261 t=14394
shu ru fa ma 	輸入法嗎	c=1 d=1 t=14395
shu shi 	屬實	c=2 d=1.00001 t=6966
shu xi 	熟悉	c=8 d=1.00001 t=9290
shu xie 	書寫	c=1 d=1 t=14426
shu xing 	屬性	c=2 d=0.197539 t=6117
shu xing tu 	屬性圖	c=2 d=1.956 t=6122
shu xu guan 	鼠鬚管	c=3 d=2.74028 t=46
shu yu 	屬於	c=1 d=1 t=2902
shu zi 	數字	c=1 d=1 t=1506
shu zu 	數組	c=7 d=1 t=4681
shu zu zhong 	數組中	c=1 d=1 t=1499
shua 	刷	c=1 d=1 t=7140
shua chu lai de 	刷出來的	c=1 d=1 t=1935
shua de 	刷地	c=0 d=0.1 t=5193
shua de le 	刷地了	c=1 d=1 t=5194
shua ya 	刷牙	c=0 d=0.1 t=11403
shua zhu zi 	刷珠子	c=1 d=1 t=3882
shuang 	爽	c=1 d=1 t=12070
shuang 	雙	c=4 d=1.86936 t=12125
shuang xian 	雙線	c=1 d=1 t=3018
shuang yi shuang 	爽一雙	c=1 d=1 t=1973
shui 	稅	c=1 d=1 t=4187
shui bu zhao 	睡不着	c=2 d=1.9802 t=5328
shui de 	睡得	c=1 d=1 t=11463
shui jiao 	睡覺	c=1 d=1.07531 t=9492
shui mian 	睡眠	c=2 d=1.02535 t=3566
shui ping 	水平	c=4 d=1 t=8502
shui ping di 	水平低	c=1 d=1 t=5092
shui ping gao 	水平高	c=1 d=1 t=5090
shun bian 	順便	c=1 d=1 t=10449
shun dai 	順帶	c=1 d=1 t=4631
shun feng 	順豐	c=2 d=1.06995 t=13840
shun jian 	瞬間	c=2 d=1.6942 t=6821
shun xu 	順序	c=1 d=0.142852 t=6057
shun xu tu 	順序圖	c=1 d=1 t=6058
shuo 	說	c=15 d=1.085 t=13273
shuo bu chu lai 	說不出來	c=1 d=1 t=9378
shuo de 	說的	c=4 d=1.00176 t=12765
shuo de dui 	說得對	c=1 d=1 t=9545
shuo de duo 	說的多	c=1 d=1 t=9025
shuo de hao 	說得好	c=1 d=1 t=6646
shuo dian 	說點	c=1 d=1 t=9232
shuo guo 	說過	c=1 d=1 t=9347
shuo hua 	說話	c=1 d=1 t=593
shuo hua sheng 	說話聲	c=1 d=1 t=6001
shuo le 	說了	c=1 d=1 t=12269
shuo liang ju 	說兩句	c=1 d=1 t=9011
shuo ming 	說明	c=2 d=1.01291 t=12483
shuo ni 	說你	c=1 d=1 t=8957
shuo shen me 	說什麼	c=1 d=1 t=4237
shuo shi 	說是	c=0 d=0.1 t=10855
shuo wo 	說我	c=1 d=1 t=10201
shuo xia 	說下	c=1 d=1 t=6170
shuo xie shen me 	說些什麼	c=1 d=1 t=6777
shuo ying yu 	說英語	c=1 d=1 t=5604
si 	四	c=2 d=1 t=9769
si 	死	c=2 d=1 t=11464
si ba tai 	四吧檯	c=1 d=1 t=2996
si dai 	四代	c=1 d=1 t=12130
si fen zhi yi 	四分之一	c=1 d=1 t=8940
si hou 	死後	c=1 d=1 t=12271
si ji 	四級	c=3 d=1.9802 t=9648
si le 	死了	c=1 d=1 t=13285
si liao 	私聊	c=1 d=1 t=2639
si lu 	思路	c=1 d=0.740824 t=405
si mian chu ge 	四面楚歌	c=1 d=1 t=2088
si qi 	私企	c=1 d=1 t=9896
si ren 	死人	c=1 d=1 t=2093
si suo 	死鎖	c=1 d=1 t=9806
si wang 	死亡	c=0 d=0.1 t=2129
si wang ge qian 	死亡擱淺	c=2 d=1.78663 t=2178
si wei 	思維	c=1 d=1 t=9542
si wo le 	死我了	c=0 d=0.1 t=7727
si xiang 	思想	c=2 d=1 t=6724
si xing 	四星	c=1 d=1 t=4455
song 	宋	c=5 d=1.03533 t=12742
song 	送	c=1 d=1 t=13004
song ge 	送個	c=2 d=1.04285 t=2653
song ti 	宋體	c=6 d=2.30593 t=12879
song xin ran 	宋欣然	c=1 d=1 t=5289
sou bu dao 	搜捕到	c=1 d=1 t=14244
sou gou 	搜狗	c=1 d=1 t=8001
sou sou 	搜搜	c=2 d=1 t=11739
sou suo 	搜索	c=4 d=1.01149 t=1854
su 	素	c=1 d=1 t=13480
su cai 	素材	c=7 d=1.117 t=4614
su da shui 	蘇打水	c=0 d=0.1 t=13
su da shui de li kai jia a si lan da kou jing la kai shou jiang dian li kuai ji shi la kai da jia la kai sheng dan jie lu ka si da jia 	蘇打水的離開家阿斯蘭大口徑拉開授獎典禮會計師拉開大家拉開聖誕節盧卡斯大家	c=1 d=1 t=14
su du 	速度	c=0 d=0.1 t=3301
su du bu gou 	速度不夠	c=1 d=1 t=3302
su eh hao 	素誒號	c=1 d=1 t=10536
su ren 	素人	c=1 d=1 t=11314
su she 	宿舍	c=1 d=1.00001 t=12563
su she hao 	宿舍號	c=2 d=1.71177 t=10609
su she ma 	宿舍嗎	c=1 d=1 t=10511
suan 	算	c=6 d=1 t=13965
suan fa 	算法	c=6 d=1.00019 t=8681
suan le 	算了	c=3 d=1 t=14619
sui 	歲	c=2 d=1.0001 t=11380
sui 	碎	c=2 d=1.98511 t=5111
sui bian 	隨便	c=2 d=1.02586 t=9969
sui bian wen 	隨便問	c=1 d=1 t=9160
sui hua 	綏化	c=1 d=1 t=13932
sui hua shi 	綏化市	c=11 d=2.77623 t=13730
sui hua shi ming shui xian 	綏化市明水縣	c=1 d=1 t=11025
sui ji 	隨機	c=1 d=1 t=205
sui jue 	碎覺	c=1 d=1 t=9486
sui le 	碎了	c=0 d=0.1 t=11378
sui long 	碎龍	c=1 d=1 t=3587
sui ran 	雖然	c=1 d=1 t=14101
sui shen 	隨身	c=1 d=1 t=2002
sun jian 	孫堅	c=1 d=1 t=12270
suo 	所	c=6 d=1.99511 t=11846
suo 	縮	c=1 d=1 t=7827
suo jin 	縮進	c=3 d=2.00501 t=8045
suo yi 	所以	c=7 d=2.00057 t=13860
suo yi jiang 	所以將	c=1 d=1 t=1788
suo yin 	索引	c=2 d=1 t=9810
suo you 	所有	c=12 d=1.00002 t=12841
suo you quan 	所有權	c=2 d=1 t=14076
suo you yin yue 	所有音樂	c=1 d=1 t=4076
ta 	他	c=12 d=1.95608 t=13992
ta 	她	c=7 d=1.96561 t=11988
ta 	它	c=6 d=1.0001 t=7079
ta he 	他和	c=0 d=0.1 t=1504
ta le 	他了	c=0 d=0.1 t=1472
ta ma 	他媽	c=0 d=0.1 t=11394
ta ma de 	他媽的	c=2 d=1.99005 t=3176
ta men 	他們	c=5 d=1.00006 t=11005
ta men dou bu hui ting 	他們都不會聽	c=1 d=1 t=4238
ta men zi ji 	他們自己	c=0 d=0.1 t=10297
ta men zi ji le 	他們自己了	c=1 d=1 t=10298
ta shi bu shi 	他是不是	c=1 d=1 t=2419
ta tai qi 	他擡起	c=1 d=1 t=9039
tai 	太	c=9 d=1.6076 t=12268
tai 	擡	c=1 d=1 t=2052
tai 	臺	c=3 d=1.00025 t=6704
tai chou 	太醜	c=0 d=0.1 t=397
tai chou le 	太醜了	c=1 d=1 t=398
tai ci 	臺詞	c=3 d=1.42105 t=12138
tai da le 	太大了	c=1 d=1 t=14044
tai dao 	太刀	c=7 d=1.00388 t=6418
tai duan 	太短	c=1 d=1 t=10533
tai duo 	太多	c=3 d=1 t=12063
tai gu 	太古	c=1 d=1 t=2739
tai gu 	太鼓	c=1 d=1 t=5009
tai gu 	臺股	c=1 d=1 t=5005
tai kuai le 	太快了	c=1 d=1 t=813
tai la 	泰拉	c=1 d=1 t=4144
tai meng 	太猛	c=1 d=1 t=11461
tai nan 	太難	c=1 d=1 t=10705
tai nan le 	太難了	c=1 d=1 t=11491
tai qiang le 	太強了	c=1 d=1 t=4819
tai wan 	臺灣	c=1 d=1 t=5629
tai wan le 	太晚了	c=1 d=1 t=7489
tai xiao le 	太小了	c=1 d=1 t=6002
tai zou 	擡走	c=2 d=0.63574 t=9264
tai zou le 	擡走了	c=1 d=1 t=9265
tan chu 	彈出	c=1 d=1 t=11472
tan hao 	歎號	c=1 d=1 t=14028
tan nan 	談難	c=1 d=1 t=10704
tan yue 	譚悅	c=1 d=1 t=7447
tang 	湯	c=1 d=1 t=2737
tang zhe 	躺着	c=1 d=1 t=5323
tao 	套	c=3 d=0.129982 t=5156
tao 	濤	c=2 d=1 t=13925
tao bao 	淘寶	c=1 d=1 t=8580
tao lu 	套路	c=1 d=1 t=5459
tao zhua bao ge 	套抓包哥	c=1 d=1 t=2828
tao zhuang 	套裝	c=4 d=1.00288 t=4773
te bie 	特別	c=0 d=0.1 t=7858
te bie da 	特別答	c=1 d=1 t=7859
te ci 	特此	c=2 d=1.74453 t=14634
te dian 	特點	c=1 d=1 t=1557
te ding 	特定	c=3 d=1 t=9046
te dou 	特鬥	c=1 d=1 t=3788
te shu yao qiu 	特殊要求	c=1 d=1 t=3265
teng 	疼	c=1 d=0.1 t=14421
teng xun 	騰訊	c=7 d=1.01642 t=14068
teng xun hui yi 	騰訊會議	c=8 d=6.89614 t=13242
teng xun yun 	騰訊雲	c=1 d=1 t=10040
ti 	提	c=1 d=1 t=2350
ti 	題	c=2 d=1 t=14363
ti 	體	c=4 d=2.96536 t=11857
ti gao 	提高	c=2 d=1 t=12528
ti gong 	提供	c=1 d=1 t=2242
ti huan 	替換	c=1 d=1 t=4194
ti ji xiao 	體積小	c=1 d=1 t=263
ti jiao 	提交	c=7 d=1.00235 t=13255
ti jiao le 	提交了	c=1 d=1 t=13258
ti le 	踢了	c=2 d=1.96561 t=1947
ti li 	體力	c=2 d=1.97045 t=4521
ti mi 	稊米	c=1 d=1 t=12623
ti mu 	題目	c=6 d=1 t=12624
ti qu 	提取	c=1 d=1 t=13673
ti shi 	提示	c=4 d=1 t=9441
ti shi fu 	提示符	c=1 d=1 t=547
ti xi 	體系	c=2 d=0.100773 t=9793
tian 	填	c=11 d=3.82478 t=13984
tian 	天	c=5 d=1.63677 t=11227
tian 	添	c=1 d=1 t=11435
tian 	舔	c=1 d=1 t=11458
tian cai 	天才	c=1 d=1 t=4836
tian de 	填的	c=1 d=1 t=14217
tian di 	天地	c=2 d=1.64726 t=2850
tian hao 	填好	c=2 d=1 t=13898
tian jia 	添加	c=13 d=1.94693 t=14283
tian jia ai dao 	添加哀悼	c=1 d=1 t=1212
tian jia dao 	添加到	c=2 d=1.94649 t=1213
tian jia le 	添加了	c=1 d=1 t=660
tian jia le 	田家樂	c=1 d=1 t=659
tian jin 	天津	c=4 d=2.4781 t=12519
tian le 	填了	c=1 d=1 t=9686
tian long ren 	天聾人	c=1 d=1 t=2772
tian mei 	甜美	c=2 d=1.956 t=4411
tian shang 	填上	c=1 d=1 t=10214
tian shang le 	填上了	c=1 d=1 t=6862
tian shen me 	填什麼	c=1 d=1 t=13916
tian shi 	天使	c=2 d=1.97954 t=11329
tian shi meng 	天使萌	c=2 d=1.99501 t=11325
tian shu 	天數	c=1 d=1 t=10013
tian tian 	天天	c=3 d=1 t=12116
tian tong yuan 	天通苑	c=8 d=4.39744 t=13654
tian tong yuan nan 	天通苑南	c=2 d=1.73345 t=13619
tian xia 	天下	c=5 d=2.63503 t=6671
tian xie 	填寫	c=5 d=1.20024 t=13820
tian xie 	天蠍	c=3 d=1 t=10570
tian yan 	天眼	c=1 d=1 t=6734
tian yi xia 	填一下	c=1 d=1 t=137
tian zi 	天子	c=1 d=1 t=12199
tiao 	挑	c=1 d=1 t=11160
tiao 	調	c=3 d=1.29083 t=14514
tiao chu 	跳出	c=1 d=1 t=1031
tiao dan 	跳彈	c=5 d=1 t=12865
tiao dong 	跳動	c=1 d=1.01678 t=6619
tiao huan 	調緩	c=1 d=1 t=1250
tiao jian 	條件	c=3 d=1.00088 t=10526
tiao jiao 	調教	c=3 d=1.99501 t=9749
tiao qiang 	跳牆	c=1 d=1 t=7661
tiao zhan 	挑戰	c=1 d=1 t=3609
tiao zheng 	調整	c=1 d=1 t=6508
tie 	貼	c=3 d=1.88692 t=7312
tie jun 	鐵軍	c=0 d=0.1 t=10892
